788,326,819,402
397,297,445,341
783,425,813,468
687,253,725,286
768,329,819,459
376,303,429,343
670,260,723,290
808,273,827,309
765,334,819,449
354,302,412,348
653,267,706,297
804,268,826,305
756,338,819,434
632,268,697,304
801,283,822,327
358,305,386,328
753,297,820,411
302,309,361,360
618,268,674,311
758,308,820,406
280,327,338,379
597,273,659,321
763,315,822,413
589,277,650,325
760,325,818,387
222,310,266,369
583,282,642,319
760,326,819,404
186,317,248,373
579,280,640,323
769,319,818,390
581,280,637,338
155,325,217,370
122,326,194,380
577,290,635,346
794,316,823,355
40,350,62,390
242,285,265,309
188,273,291,316
806,290,833,316
38,378,62,402
807,278,852,308
189,271,223,292
0,384,25,409
685,376,694,425
509,277,532,296
660,357,692,430
806,271,838,327
759,294,777,342
622,356,689,442
801,274,852,327
592,355,676,439
710,292,767,339
791,281,831,321
539,347,634,431
794,281,827,361
703,290,754,340
672,276,830,395
494,347,578,434
518,288,548,309
588,261,830,399
465,337,537,418
420,284,700,407
728,281,760,314
808,281,829,310
351,274,663,402
708,276,743,315
798,268,827,314
283,276,445,407
723,271,833,387
683,266,725,316
600,292,645,337
535,273,562,314
591,273,836,388
201,273,390,391
516,272,555,296
520,266,760,370
298,317,363,383
211,280,254,310
798,279,828,313
140,268,171,287
423,278,692,354
281,317,331,376
796,274,825,317
343,269,566,342
247,313,306,371
796,282,826,331
699,294,734,331
626,286,649,318
223,267,454,370
515,274,560,313
724,291,759,333
797,301,813,342
197,267,488,371
747,299,764,338
513,282,547,297
801,303,815,339
586,286,605,309
559,287,701,378
187,261,292,369
366,286,491,354
779,304,817,339
524,284,540,310
559,304,704,380
130,260,226,292
788,301,816,399
170,310,218,357
790,287,823,400
155,308,199,351
142,271,173,288
140,268,174,345
796,269,825,351
501,281,546,302
793,292,827,374
144,299,175,344
592,256,628,281
792,327,813,379
813,275,829,312
782,330,817,378
781,337,819,389
782,339,818,390
778,345,820,386
769,416,801,467
805,266,828,310
759,418,803,480
617,292,660,335
800,338,818,386
805,279,826,304
797,278,825,362
639,286,670,332
753,439,785,480
537,268,563,295
662,288,702,334
800,286,822,353
533,270,559,294
684,288,722,334
796,286,829,335
188,267,223,293
533,268,559,296
191,269,297,324
706,291,736,345
798,275,830,324
533,271,556,296
224,279,334,335
798,273,838,323
726,286,759,331
505,273,551,296
245,285,360,341
747,288,833,346
490,275,532,294
288,289,367,341
767,289,829,348
483,277,519,307
789,302,818,350
473,279,515,305
812,258,824,292
800,278,829,341
769,440,810,480
462,279,502,314
690,246,718,270
801,271,834,341
443,282,488,321
779,427,811,480
693,247,724,270
770,400,818,480
798,287,839,349
426,292,457,326
700,246,728,273
781,388,819,480
410,302,459,335
799,316,822,351
698,252,725,275
788,326,819,402
397,297,445,341
783,425,813,468
687,253,725,286
768,329,819,459
376,303,429,343
670,260,723,290
808,273,827,309
765,334,819,449
354,302,412,348
653,267,706,297
804,268,826,305
756,338,819,434
632,268,697,304
801,283,822,327
358,305,386,328
753,297,820,411
302,309,361,360
618,268,674,311
758,308,820,406
280,327,338,379
597,273,659,321
763,315,822,413
589,277,650,325
760,325,818,387
222,310,266,369
583,282,642,319
760,326,819,404
186,317,248,373
579,280,640,323
769,319,818,390
581,280,637,338
155,325,217,370
122,326,194,380
577,290,635,346
794,316,823,355
40,350,62,390
242,285,265,309
188,273,291,316
806,290,833,316
38,378,62,402
807,278,852,308
189,271,223,292
0,384,25,409
685,376,694,425
509,277,532,296
660,357,692,430
806,271,838,327
759,294,777,342
622,356,689,442
801,274,852,327
592,355,676,439
710,292,767,339
791,281,831,321
539,347,634,431
794,281,827,361
703,290,754,340
672,276,830,395
494,347,578,434
518,288,548,309
588,261,830,399
465,337,537,418
420,284,700,407
728,281,760,314
808,281,829,310
351,274,663,402
708,276,743,315
798,268,827,314
283,276,445,407
723,271,833,387
683,266,725,316
600,292,645,337
535,273,562,314
591,273,836,388
201,273,390,391
516,272,555,296
520,266,760,370
298,317,363,383
211,280,254,310
798,279,828,313
140,268,171,287
423,278,692,354
281,317,331,376
796,274,825,317
343,269,566,342
247,313,306,371
796,282,826,331
699,294,734,331
626,286,649,318
223,267,454,370
515,274,560,313
724,291,759,333
797,301,813,342
197,267,488,371
747,299,764,338
513,282,547,297
801,303,815,339
586,286,605,309
559,287,701,378
187,261,292,369
366,286,491,354
779,304,817,339
524,284,540,310
559,304,704,380
130,260,226,292
788,301,816,399
170,310,218,357
790,287,823,400
155,308,199,351
142,271,173,288
140,268,174,345
796,269,825,351
501,281,546,302
793,292,827,374
144,299,175,344
592,256,628,281
792,327,813,379
813,275,829,312
782,330,817,378
781,337,819,389
782,339,818,390
778,345,820,386
769,416,801,467
805,266,828,310
759,418,803,480
617,292,660,335
800,338,818,386
805,279,826,304
797,278,825,362
639,286,670,332
753,439,785,480
537,268,563,295
662,288,702,334
800,286,822,353
533,270,559,294
684,288,722,334
796,286,829,335
188,267,223,293
533,268,559,296
191,269,297,324
706,291,736,345
798,275,830,324
533,271,556,296
224,279,334,335
798,273,838,323
726,286,759,331
505,273,551,296
245,285,360,341
747,288,833,346
490,275,532,294
288,289,367,341
767,289,829,348
483,277,519,307
789,302,818,350
473,279,515,305
812,258,824,292
800,278,829,341
769,440,810,480
462,279,502,314
690,246,718,270
801,271,834,341
443,282,488,321
779,427,811,480
693,247,724,270
770,400,818,480
798,287,839,349
426,292,457,326
700,246,728,273
781,388,819,480
410,302,459,335
799,316,822,351
698,252,725,275
788,326,819,402
397,297,445,341
783,425,813,468
687,253,725,286
768,329,819,459
376,303,429,343
670,260,723,290
808,273,827,309
765,334,819,449
354,302,412,348
653,267,706,297
804,268,826,305
756,338,819,434
632,268,697,304
801,283,822,327
358,305,386,328
753,297,820,411
302,309,361,360
618,268,674,311
758,308,820,406
280,327,338,379
597,273,659,321
763,315,822,413
589,277,650,325
760,325,818,387
222,310,266,369
583,282,642,319
760,326,819,404
186,317,248,373
579,280,640,323
769,319,818,390
581,280,637,338
155,325,217,370
122,326,194,380
577,290,635,346
794,316,823,355
40,350,62,390
242,285,265,309
188,273,291,316
806,290,833,316
38,378,62,402
807,278,852,308
189,271,223,292
0,384,25,409
685,376,694,425
509,277,532,296
660,357,692,430
806,271,838,327
759,294,777,342
622,356,689,442
801,274,852,327
592,355,676,439
710,292,767,339
791,281,831,321
539,347,634,431
794,281,827,361
703,290,754,340
672,276,830,395
494,347,578,434
518,288,548,309
588,261,830,399
465,337,537,418
420,284,700,407
728,281,760,314
808,281,829,310
351,274,663,402
708,276,743,315
798,268,827,314
283,276,445,407
723,271,833,387
683,266,725,316
600,292,645,337
535,273,562,314
591,273,836,388
201,273,390,391
516,272,555,296
520,266,760,370
298,317,363,383
211,280,254,310
798,279,828,313
140,268,171,287
423,278,692,354
281,317,331,376
796,274,825,317
343,269,566,342
247,313,306,371
796,282,826,331
699,294,734,331
626,286,649,318
223,267,454,370
515,274,560,313
724,291,759,333
797,301,813,342
197,267,488,371
747,299,764,338
513,282,547,297
801,303,815,339
586,286,605,309
559,287,701,378
187,261,292,369
366,286,491,354
779,304,817,339
524,284,540,310
559,304,704,380
130,260,226,292
788,301,816,399
170,310,218,357
790,287,823,400
155,308,199,351
142,271,173,288
140,268,174,345
796,269,825,351
501,281,546,302
793,292,827,374
144,299,175,344
592,256,628,281
792,327,813,379
813,275,829,312
782,330,817,378
781,337,819,389
782,339,818,390
778,345,820,386
769,416,801,467
805,266,828,310
759,418,803,480
617,292,660,335
